transaction_id,account_id,transaction_type,amount,transaction_ts,merchant_category,transaction_status
T10001,A1001,DEBIT,120.5,2026-09-22 09:15:00,GROCERY,SUCCESS
T10002,A1002,CREDIT,1500.0,2026-09-22 09:30:00,SALARY,SUCCESS
T10003,A1001,DEBIT,75.25,2026-09-22 10:05:00,FUEL,SUCCESS
T10004,A1003,DEBIT,220.0,2026-09-22 10:30:00,SHOPPING,SUCCESS
T10005,A1004,CREDIT,2500.0,2026-09-22 11:00:00,TRANSFER,SUCCESS
T10006,A1005,DEBIT,45.9,2026-09-22 11:25:00,DINING,SUCCESS
T10007,A1007,DEBIT,300.0,2026-09-22 12:10:00,ATM,SUCCESS
T10008,A1008,CREDIT,800.0,2026-09-22 13:00:00,TRANSFER,SUCCESS
T10009,A1003,DEBIT,95.5,2026-09-22 13:20:00,GROCERY,SUCCESS
T10010,A1005,DEBIT,60.0,2026-09-22 14:05:00,FUEL,FAILED
T10010,A1005,DEBIT,60.0,2026-09-22 14:05:00,FUEL,FAILED
T10011,A1001,DEBIT,,2026-09-22 14:30:00,SHOPPING,SUCCESS
T10012,,CREDIT,500.0,2026-09-22 15:00:00,TRANSFER,SUCCESS
T10013,A1007,DEBIT,-25.0,2026-09-22 15:15:00,DINING,SUCCESS
,A1008,DEBIT,110.0,2026-09-22 15:45:00,GROCERY,SUCCESS
